job_id,experience_min,experience_max,salary_min,salary_max,salary_avg,experience_avg,job_level,year,month,quarter,day,location_list,region,accounting,reporting,finance,management,monitoring,inspection,english,accounting software,excel,misa,fast,sap,erp,accounts payable,reconciliation,audit,inventory checking,tax finalization,cash inflow/outflow,analysis,communication,teamwork,honesty,careful,responsibility,proactiveness,work under pressure,detail oriented,num_hard,num_software,num_soft
35C6C100,3.0,5.0,13000000.0,18000000.0,15500000.0,4.0,Senior,2026,3,1,11,Ho Chi Minh,South,1,0,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,6,4,1
35C6B736,3.0,5.0,25000000.0,30000000.0,27500000.0,4.0,Senior,2026,3,1,9,Ho Chi Minh,South,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,6,1,3
35C64D78,3.0,5.0,25000000.0,35000000.0,30000000.0,4.0,Senior,2026,1,1,7,Binh Duong,South,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
35C67C0D,3.0,5.0,14000000.0,18000000.0,16000000.0,4.0,Senior,2026,2,1,5,Ho Chi Minh,South,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,4,2,2
35C664D0,1.0,3.0,11000000.0,15000000.0,13000000.0,2.0,Junior,2026,1,1,22,Ho Chi Minh,South,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,5,0,1
35C69E1A,10.0,11.0,70000000.0,75000000.0,72500000.0,10.5,Manager,2026,2,1,27,Ho Chi Minh,South,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
35C08E54,3.0,5.0,15000000.0,20000000.0,17500000.0,4.0,Senior,2025,12,4,20,Ho Chi Minh,South,1,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,5,3,4
35C670F3,2.0,5.0,12000000.0,20000000.0,16000000.0,3.5,Senior,2026,1,1,30,Ho Chi Minh,South,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,1,1,0,4,2,4
35C6ABE3,2.0,3.0,10000000.0,20000000.0,15000000.0,2.5,Senior,2026,3,1,4,Ho Chi Minh,South,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,3
35C65AB3,0.0,0.0,0.0,18000000.0,9000000.0,0.0,Intern,2026,1,1,15,Ho Chi Minh,South,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2,2,3
35C6A891,1.0,3.0,14000000.0,16000000.0,15000000.0,2.0,Junior,2026,3,1,3,Ho Chi Minh,South,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,4,4
35C6CA5F,5.0,10.0,20000000.0,25000000.0,22500000.0,7.5,Manager,2026,3,1,16,Ba Ria-VT,South,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
35C662DB,3.0,5.0,20000000.0,25000000.0,22500000.0,4.0,Senior,2026,1,1,21,Ho Chi Minh,South,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,0,1
35C6A2CA,0.0,2.0,20000000.0,35000000.0,27500000.0,1.0,Fresher,2026,3,1,2,Ha Noi,North,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3,2,1
35C691C9,1.0,2.0,10000000.0,13000000.0,11500000.0,1.5,Junior,2026,2,1,24,Ho Chi Minh,South,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,3,1,2
35C6A751,2.0,3.0,12000000.0,18000000.0,15000000.0,2.5,Senior,2026,3,1,3,Ha Noi,North,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,3,2,2
35C66D87,2.0,2.0,15000000.0,20000000.0,17500000.0,2.0,Junior,2026,1,1,28,Ho Chi Minh,South,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
